date,confirmed,recovered,deaths,active
 2020-03-12,1,0,0,1
 2020-03-13,1,0,0,1
 2020-03-14,1,0,0,1
 2020-03-15,2,0,0,2
 2020-03-16,2,0,0,2
 2020-03-17,3,0,0,3
 2020-03-18,3,0,0,3
 2020-03-19,5,0,0,5
 2020-03-20,11,0,0,11
 2020-03-21,20,0,0,20
 2020-03-22,31,0,1,30
 2020-03-23,40,0,1,39
 2020-03-24,47,0,1,46
 2020-03-25,53,0,1,52
 2020-03-26,62,1,1,60
 2020-03-27,70,2,1,67
 2020-03-28,76,2,2,72
 2020-03-29,77,2,2,73
 2020-03-30,80,2,2,76
 2020-03-31,84,3,2,79
 2020-04-01,88,8,2,78
 2020-04-02,92,11,2,79
 2020-04-03,93,18,2,73
 2020-04-04,96,18,2,76
 2020-04-05,96,28,2,66
 2020-04-06,97,40,2,55
 2020-04-07,99,42,2,55
 2020-04-08,100,47,2,51
 2020-04-09,102,54,2,46
 2020-04-10,102,59,2,41
 2020-04-11,102,62,2,38
 2020-04-12,102,67,2,33
 2020-04-13,103,72,2,29
 2020-04-14,103,75,2,26
 2020-04-15,103,77,3,23
 2020-04-16,103,79,3,21
 2020-04-17,103,81,3,19
 2020-04-18,103,88,3,12
 2020-04-19,103,89,3,11
 2020-04-20,104,91,3,10
 2020-04-21,104,92,3,9
 2020-04-22,104,93,3,8
 2020-04-23,104,93,3,8
 2020-04-24,105,97,3,5
 2020-04-25,106,98,3,5
 2020-04-26,106,99,3,4
 2020-04-27,106,100,3,3
 2020-04-28,106,101,3,2
 2020-04-29,106,101,3,2
 2020-04-30,106,103,3,0
 2020-05-01,106,103,3,0
 2020-05-02,106,103,3,0
 2020-05-03,106,103,3,0
 2020-05-04,107,103,3,1
 2020-05-05,107,103,3,1
 2020-05-06,107,103,3,1
 2020-05-07,107,103,3,1
 2020-05-08,107,103,3,1
 2020-05-09,107,103,3,1
 2020-05-10,107,104,3,0
 2020-05-11,107,104,3,0
 2020-05-12,107,104,3,0
 2020-05-13,107,104,3,0
 2020-05-14,107,104,3,0
 2020-05-15,107,104,3,0
 2020-05-16,107,104,3,0
 2020-05-17,107,104,3,0
 2020-05-18,107,104,3,0
 2020-05-19,107,104,3,0
 2020-05-20,107,104,3,0
 2020-05-21,107,104,3,0
 2020-05-22,107,104,3,0
 2020-05-23,107,104,3,0
 2020-05-24,107,104,3,0
 2020-05-25,107,104,3,0
 2020-05-26,107,104,3,0
 2020-05-27,107,104,3,0
 2020-05-28,107,104,3,0
 2020-05-29,107,104,3,0
 2020-05-30,107,104,3,0
 2020-05-31,107,104,3,0
 2020-06-01,107,104,3,0
 2020-06-02,107,104,3,0
 2020-06-03,107,104,3,0
 2020-06-04,107,104,3,0
 2020-06-05,107,104,3,0
 2020-06-06,107,104,3,0
 2020-06-07,108,104,3,1
 2020-06-08,108,104,3,1
 2020-06-09,108,104,3,1
 2020-06-10,108,104,3,1
 2020-06-11,108,104,3,1
 2020-06-12,108,104,3,1
 2020-06-13,108,104,3,1
 2020-06-14,108,104,3,1
 2020-06-15,108,104,3,1
 2020-06-16,108,104,3,1
 2020-06-17,108,105,3,0
 2020-06-18,108,105,3,0
 2020-06-19,108,105,3,0
 2020-06-20,108,105,3,0
 2020-06-21,108,105,3,0
 2020-06-22,108,105,3,0
 2020-06-23,108,105,3,0
 2020-06-24,108,105,3,0
 2020-06-25,108,105,3,0
 2020-06-26,108,105,3,0
 2020-06-27,108,105,3,0
 2020-06-28,108,105,3,0
 2020-06-29,108,105,3,0
 2020-06-30,108,105,3,0
 2020-07-01,108,105,3,0
 2020-07-02,108,105,3,0
 2020-07-03,108,105,3,0
 2020-07-04,108,105,3,0
 2020-07-05,108,105,3,0
 2020-07-06,108,105,3,0
 2020-07-07,108,105,3,0
 2020-07-08,111,105,3,3
 2020-07-09,112,105,3,4
 2020-07-10,113,105,3,5
 2020-07-11,113,105,3,5
 2020-07-12,113,105,3,5
 2020-07-13,113,105,3,5
 2020-07-15,113,105,3,5
 2020-07-16,113,105,3,5
 2020-07-17,113,105,3,5
 2020-07-18,113,105,3,5
 2020-07-19,113,105,3,5
 2020-07-20,113,107,3,3
 2020-07-21,113,107,3,3
 2020-07-22,113,107,3,3
 2020-07-23,113,109,3,1
 2020-07-24,113,109,3,1
 2020-07-25,113,109,3,1
 2020-07-26,113,109,3,1
 2020-07-27,113,109,3,1
 2020-07-28,113,109,3,1
 2020-07-29,113,109,3,1
 2020-07-30,113,109,3,1
 2020-07-31,113,109,3,1
 2020-08-01,113,110,3,0
 2020-08-02,113,110,3,0
 2020-08-03,113,110,3,0
 2020-08-04,113,110,3,0
 2020-08-05,113,110,3,0
 2020-08-06,113,110,3,0
 2020-08-07,113,110,3,0
 2020-08-08,113,110,3,0
 2020-08-09,113,110,3,0
 2020-08-10,113,110,3,0
 2020-08-11,113,110,3,0
 2020-08-12,113,110,3,0
 2020-08-13,113,110,3,0
 2020-08-14,113,110,3,0
 2020-08-15,113,110,3,0
 2020-08-16,113,110,3,0
 2020-08-17,113,110,3,0
 2020-08-18,113,110,3,0
 2020-08-19,113,110,3,0
 2020-08-20,113,110,3,0
 2020-08-21,113,110,3,0
 2020-08-22,113,110,3,0
 2020-08-23,113,110,3,0
 2020-08-24,113,110,3,0
 2020-08-25,113,110,3,0
 2020-08-26,113,110,3,0
 2020-08-27,113,110,3,0
 2020-08-28,113,110,3,0
 2020-08-29,113,110,3,0
 2020-08-30,113,110,3,0
 2020-08-31,113,110,3,0
 2020-09-01,113,110,3,0
 2020-09-02,113,110,3,0
 2020-09-03,113,110,3,0
 2020-09-04,113,110,3,0
 2020-09-05,113,110,3,0
 2020-09-06,113,110,3,0
 2020-09-07,113,110,3,0
 2020-09-08,113,110,3,0
 2020-09-09,113,110,3,0
 2020-09-10,113,110,3,0
 2020-09-11,113,110,3,0
 2020-09-12,113,110,3,0
 2020-09-13,113,110,3,0
 2020-09-14,113,110,3,0
 2020-09-15,113,110,3,0
 2020-09-16,113,110,3,0
 2020-09-17,113,110,3,0
 2020-09-18,113,110,3,0
 2020-09-19,113,110,3,0
 2020-09-20,113,110,3,0
 2020-09-21,113,110,3,0
 2020-09-22,113,110,3,0
 2020-09-23,113,110,3,0
 2020-09-24,113,110,3,0
 2020-09-25,113,110,3,0
 2020-09-26,113,110,3,0
 2020-09-27,113,110,3,0
 2020-09-28,113,110,3,0
 2020-09-29,113,110,3,0
 2020-09-30,113,110,3,0
 2020-10-01,113,110,3,0
 2020-10-02,113,110,3,0
 2020-10-03,113,110,3,0
 2020-10-04,113,110,3,0
 2020-10-05,113,110,3,0
 2020-10-06,113,110,3,0
 2020-10-07,113,110,3,0
 2020-10-08,113,110,3,0
 2020-10-09,113,110,3,0
 2020-10-10,113,110,3,0
 2020-10-11,113,110,3,0
 2020-10-12,113,110,3,0
 2020-10-13,113,110,3,0
 2020-10-14,113,110,3,0
 2020-10-15,113,110,3,0
 2020-10-16,113,110,3,0
 2020-10-17,113,110,3,0
 2020-10-18,113,110,3,0
 2020-10-19,113,110,3,0
 2020-10-20,113,110,3,0
 2020-10-21,113,110,3,0
 2020-10-22,114,110,3,1
 2020-10-23,114,110,3,1
 2020-10-24,114,110,3,1
 2020-10-25,114,110,3,1
 2020-10-26,114,110,3,1
 2020-10-27,114,110,3,1
 2020-10-28,114,110,3,1
 2020-10-29,114,110,3,1
 2020-10-30,114,111,3,0
 2020-10-31,114,111,3,0
 2020-11-01,114,111,3,0
 2020-11-02,114,111,3,0
 2020-11-03,114,111,3,0
 2020-11-04,114,111,3,0
 2020-11-05,114,111,3,0
 2020-11-06,114,111,3,0
 2020-11-07,114,111,3,0
 2020-11-08,114,111,3,0
 2020-11-09,114,111,3,0
 2020-11-10,114,111,3,0
 2020-11-11,114,111,3,0
 2020-11-12,114,111,3,0
 2020-11-13,114,111,3,0
 2020-11-14,114,111,3,0
 2020-11-15,114,111,3,0
 2020-11-16,114,111,3,0
 2020-11-17,114,111,3,0
 2020-11-18,115,111,3,1
 2020-11-19,115,111,3,1
 2020-11-20,115,111,3,1
 2020-11-21,115,111,3,1
 2020-11-22,115,111,3,1
 2020-11-23,115,111,3,1
 2020-11-24,115,111,3,1
 2020-11-25,115,111,3,1
 2020-11-26,115,112,3,0
 2020-11-27,116,112,3,1
 2020-11-28,117,112,3,2
 2020-11-29,117,112,3,2
 2020-11-30,117,112,3,2
 2020-12-01,117,112,3,2
